retailer,price_tier,adaptive_specialisation,note
Primark,1,1,"Flexible sizing only; no magnetic fastenings, seated cuts, or other functional adaptations (Goworek and McGoldrick, 2015)"
Marks and Spencer,3,2,"Adaptive childrenswear such as school uniforms with Velcro fastenings, but few adult ranges in local stores (Mintel, 2022)"
Independent boutiques,3,1,"Fashionable designs but prioritise aesthetics over inclusivity, with no accessibility adaptations (Varley and Rafiq, 2014)"
Online adaptive sellers,3,4,"Genuine functional ranges, but no fitting, immediate availability, or customisation services (Levy, Weitz and Grewal, 2023)"
Trueform Clothing,4,5,"Norwich's only specialist adaptive wear retailer: magnetic fastenings, seated trousers, front-fastened bras, prosthetic-friendly cuts, plus in-person fitting and customisation"
